OTU,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_2075,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781,BOTU_2075_AKIW781
BOTU_2068,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,BOTU_2068_Psychroglaciecola
BOTU_2073,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,BOTU_2073_JG30-KF-CM45
BOTU_2072,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2072_Bacteria
BOTU_2074,Bacteria,Chloroflexi,unidentified,unidentified,unidentified,unidentified,BOTU_2074_Chloroflexi
BOTU_2080,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,BOTU_2080_Bdellovibrio
BOTU_2076,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter,BOTU_2076_Candidatus_Solibacter
BOTU_2083,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,BOTU_2083_Gemmata
BOTU_2078,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadales,Chthonomonadales,BOTU_2078_Chthonomonadales
BOTU_2079,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,BOTU_2079_Chthoniobacter
BOTU_2077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unidentified,unidentified,BOTU_2077_Rhizobiales
BOTU_2086,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,unidentified,unidentified,BOTU_2086_Planctomycetales
BOTU_2081,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,BOTU_2081_Adhaeribacter
BOTU_2071,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,BOTU_2071_Paenibacillus
BOTU_2082,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,unidentified,unidentified,BOTU_2082_Vicinamibacterales
BOTU_2084,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,BOTU_2084_Bryobacter
BOTU_2085,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,unidentified,unidentified,BOTU_2085_Cytophagales
BOTU_2088,Bacteria,Acidobacteriota,Blastocatellia,DS-100,DS-100,DS-100,BOTU_2088_DS-100
BOTU_2087,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,unidentified,BOTU_2087_Micromonosporaceae
BOTU_2094,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,unidentified,BOTU_2094_Ardenticatenaceae
BOTU_2091,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2091_Bacteria
BOTU_2099,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,BOTU_2099_FFCH7168
BOTU_2089,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unidentified,BOTU_2089_Rhizobiaceae
BOTU_2093,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,BOTU_2093_JG30-KF-CM66
